PERMNO	date	COMNAM	RET
49154	5/10/2023	TARGET CORP	0.001969
49154	5/11/2023	TARGET CORP	0.007228
49154	5/12/2023	TARGET CORP	-0.005539
49154	5/15/2023	TARGET CORP	0.01633
49154	5/16/2023	TARGET CORP	-0.016068
49154	5/17/2023	TARGET CORP	0.025811
49154	5/18/2023	TARGET CORP	-0.042122
49154	5/19/2023	TARGET CORP	-0.012323
49154	5/22/2023	TARGET CORP	-0.00243
49154	5/23/2023	TARGET CORP	-0.031269
49154	5/24/2023	TARGET CORP	-0.027589
49154	5/25/2023	TARGET CORP	-0.016422
49154	5/26/2023	TARGET CORP	-0.012931
49154	5/30/2023	TARGET CORP	-0.036637
49154	5/31/2023	TARGET CORP	-0.021742
49154	6/1/2023	TARGET CORP	0.001757
49154	6/2/2023	TARGET CORP	0.015706
49154	6/5/2023	TARGET CORP	-0.019667
49154	6/6/2023	TARGET CORP	0.01608
49154	6/7/2023	TARGET CORP	-0.007159
49154	6/8/2023	TARGET CORP	-0.003643
49154	6/9/2023	TARGET CORP	-0.032605
49154	6/12/2023	TARGET CORP	-0.004016
49154	6/13/2023	TARGET CORP	0.01771
49154	6/14/2023	TARGET CORP	0.035037
49154	6/15/2023	TARGET CORP	0.034602
49154	6/16/2023	TARGET CORP	-0.029237
49154	6/20/2023	TARGET CORP	-0.008146
49154	6/21/2023	TARGET CORP	0.003767
49154	6/22/2023	TARGET CORP	-0.00623
49154	6/23/2023	TARGET CORP	-0.00423
49154	6/26/2023	TARGET CORP	0.020253
49154	6/27/2023	TARGET CORP	-0.014796
49154	6/28/2023	TARGET CORP	-0.000302
49154	6/29/2023	TARGET CORP	0.003322
49154	6/30/2023	TARGET CORP	-0.007599
49154	7/3/2023	TARGET CORP	0.022441
49154	7/5/2023	TARGET CORP	-0.017129
49154	7/6/2023	TARGET CORP	-0.012901
49154	7/7/2023	TARGET CORP	-0.006038
49154	7/10/2023	TARGET CORP	0.012995
49154	7/11/2023	TARGET CORP	0.012525
49154	7/12/2023	TARGET CORP	-0.003598
49154	7/13/2023	TARGET CORP	-0.000677
49154	7/14/2023	TARGET CORP	-0.014305
49154	7/17/2023	TARGET CORP	-0.006951
49154	7/18/2023	TARGET CORP	0.006153
49154	7/19/2023	TARGET CORP	0.014448
49154	7/20/2023	TARGET CORP	0.014619
49154	7/21/2023	TARGET CORP	-0.004159
49154	7/24/2023	TARGET CORP	0.009919
49154	7/25/2023	TARGET CORP	-0.013367
49154	7/26/2023	TARGET CORP	0.006512
49154	7/27/2023	TARGET CORP	0.000223
49154	7/28/2023	TARGET CORP	0.003717
49154	7/31/2023	TARGET CORP	0.010889
49154	8/1/2023	TARGET CORP	-0.0255
