,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,,,,,,,,,,
194506,0.157568242,0.018179659,0.035815189,0.048625165,0.134842846,,,,,,,,0.002864537,,
194507,-0.037448758,-0.046618341,-0.055894811,-0.052869835,-0.058151154,,,,,,,,0.001745799,,
194508,-0.023040758,0.107352659,0.067396189,0.037065165,0.032945846,,,,,,,,-0.002473487,,
194509,0.132920242,0.073757659,0.019655189,0.057803165,0.060814846,,,,,,,,0.009803886,,
194510,0.151941242,0.092088659,0.097902189,0.112095165,0.081224846,,,,,,,,0.013992065,,
194511,0.079384242,0.081919659,0.127095189,0.120415165,0.103072846,,,,,,,,0.00650313,,
194512,0.054109242,0.018825659,0.036762189,0.019272165,0.014108846,,,,,,,,0.001018642,,
194601,0.331793242,0.084466659,0.104076189,0.102591165,0.151363846,,,,,,,,0.028025467,,
194602,-0.058856758,-0.110416341,-0.076530811,-0.083704835,-0.078581154,,,,,,,,0.006498748,,
194603,-0.051610758,0.028055659,0.037444189,0.031093165,0.024424846,,,,,,,,-0.001447974,,
194604,0.020334242,0.053398659,0.145760189,0.056334165,0.051115846,,,,,,,,0.001085821,,
194605,0.082515242,0.066207659,0.034678189,0.004511165,0.048565846,,,,,,,,0.005463141,,
194606,-0.068637758,-0.048019341,-0.070420811,-0.055660835,-0.076834154,,,,,,,,0.00329594,,
194607,-0.075121758,-0.076728341,-0.013454811,-0.046838835,-0.081280154,,,,,,,,0.005763968,,
194608,-0.103966758,-0.096517341,-0.117276811,-0.090946835,-0.107456154,,,,,,,,0.010034595,,
194609,-0.168545758,-0.192335341,-0.163668811,-0.165369835,-0.199070154,,,,,,,,0.032417306,,
194610,-0.049015758,-0.045437341,0.003439189,-0.029272835,-0.013490154,,,,,,,,0.002227146,,
194611,-0.037014758,0.000747659,-0.039521811,-0.033055835,-0.012516154,,,,,,,,-2.77E-05,,
194612,0.008499242,0.075404659,0.022221189,0.018580165,0.015035846,,,,,,,,0.000640882,,
194701,0.050521242,0.049011659,0.018113189,0.036298165,0.035330846,,,,,,,,0.00247613,,
194702,0.002312242,-0.029467341,-0.022067811,-0.004271835,-0.013213154,,,,,,,,-6.81E-05,,
194703,-0.061068758,-0.053933341,-0.063003811,-0.060162835,-0.033339154,,,,,,,,0.003293642,,
194704,-0.121029758,-0.106330341,-0.110952811,-0.106268835,-0.109417154,,,,,,,,0.012869135,,
194705,-0.070610758,-0.079491341,-0.085024811,-0.065078835,-0.072583154,,,,,,,,0.005612944,,
194706,0.062396242,0.022966659,0.065433189,0.014846165,0.047024846,,,,,,,,0.001433033,,
194707,0.093405242,0.069899659,0.066691189,0.037715165,0.073729846,,,,,,,,0.006528995,,
194708,-0.033367758,-0.047928341,-0.046638811,-0.027263835,-0.037565154,,,,,,,,0.001599261,,
194709,0.003340242,-0.001500341,-0.019440811,-0.015532835,0.012800846,,,,,,,,-5.01E-06,,
194710,0.016508242,0.045043659,0.066597189,0.028749165,0.008191846,,,,,,,,0.000743592,,
194711,-0.056014758,-0.073331341,-0.050209811,-0.034609835,-0.033607154,,,,,,,,0.004107637,,
194712,-0.043205758,0.027300659,-0.029920811,-0.013349835,0.032467846,,,,,,,,-0.001179546,,
